row col disease moisture
1 1 1 12.05
1 2 1 12.07
1 3 1 13.87
1 4 1 14.14
1 5 1 15.07
1 6 1 13.87
1 7 1 14.23
1 8 1 14.31
1 9 1 13.75
1 10 1 13.77
1 11 0 12.62
1 12 1 12.5
1 13 1 11.87
1 14 0 10.12
1 15 0 10.16
1 16 1 8.86
1 17 0 8.38
1 18 0 8.38
1 19 0 7.48
1 20 0 7.72
2 1 1 11.25
2 2 1 13.02
2 3 1 13.39
2 4 1 13.57
2 5 1 13.87
2 6 1 13.4
2 7 1 14.75
2 8 1 13.32
2 9 1 13.98
2 10 0 13.26
2 11 0 12.21
2 12 0 11.13
2 13 0 10.65
2 14 0 9.15
2 15 0 8.05
2 16 0 7.46
2 17 0 7.09
2 18 0 7.34
2 19 0 8.03
2 20 0 7.05
3 1 1 13.86
3 2 1 13.17
3 3 1 13.37
3 4 1 13.49
3 5 1 13.28
3 6 1 12.6
3 7 1 12.63
3 8 1 12.69
3 9 0 12.42
3 10 1 11.31
3 11 0 11.26
3 12 1 10.39
3 13 0 8.94
3 14 0 8.83
3 15 1 7.29
3 16 0 7.28
3 17 0 7.4
3 18 0 7.55
3 19 0 7.53
3 20 0 6.81
4 1 1 12.76
4 2 1 12.85
4 3 1 12.6
4 4 1 13.48
4 5 1 14.29
4 6 1 12.55
4 7 1 12.76
4 8 1 11.33
4 9 1 11.88
4 10 1 11.78
4 11 1 14.9
4 12 0 9.91
4 13 0 9.74
4 14 1 8.62
4 15 0 7.74
4 16 0 7.55
4 17 0 7.66
4 18 0 7.79
4 19 0 7.14
4 20 0 7.74
5 1 1 12.21
5 2 1 13.47
5 3 1 12.73
5 4 1 26
5 5 1 12.28
5 6 1 12.88
5 7 1 11.73
5 8 1 11.13
5 9 1 10.68
5 10 0 10.97
5 11 1 9.66
5 12 1 9.86
5 13 0 8.51
5 14 0 8.21
5 15 0 8.14
5 16 0 8.23
5 17 0 7.61
5 18 0 7.33
5 19 0 7.17
5 20 1 6.94
6 1 1 13.26
6 2 1 11.82
6 3 1 14.11
6 4 1 12.13
6 5 1 12.36
6 6 1 10.71
6 7 1 10.77
6 8 1 10.04
6 9 0 9.68
6 10 0 9.6
6 11 1 9.15
6 12 0 9.08
6 13 0 8.6
6 14 0 8.92
6 15 0 8.14
6 16 1 7.39
6 17 0 7.54
6 18 0 7.56
6 19 0 7.72
6 20 0 7.2
7 1 1 12.57
7 2 1 11.95
7 3 1 12.35
7 4 0 11.21
7 5 0 10.89
7 6 1 11.43
7 7 0 9.41
7 8 0 10.39
7 9 0 9.55
7 10 0 9.47
7 11 0 9.59
7 12 0 10.48
7 13 0 8.26
7 14 0 9.01
7 15 0 8.48
7 16 0 7.1
7 17 0 7.76
7 18 0 7.89
7 19 0 7.82
7 20 0 7.62
8 1 1 11.52
8 2 0 12.14
8 3 0 10.95
8 4 0 11.46
8 5 0 11.01
8 6 0 10.74
8 7 0 10.98
8 8 0 9.98
8 9 0 10.16
8 10 0 9.96
8 11 0 8.71
8 12 0 8.99
8 13 0 9.8
8 14 0 8.9
8 15 0 9.68
8 16 0 8.4
8 17 0 8.32
8 18 0 8.08
8 19 0 7.85
8 20 0 7.62
9 1 0 11.67
9 2 0 11.21
9 3 1 10.75
9 4 0 9.49
9 5 0 10.04
9 6 1 9.96
9 7 0 10.46
9 8 0 9.42
9 9 0 8.94
9 10 0 8.58
9 11 0 8.53
9 12 0 7.87
9 13 0 7.21
9 14 0 7.285
9 15 0 7.36
9 16 0 7.93
9 17 0 6.83
9 18 0 7.69
9 19 0 7.08
9 20 0 7.52
10 1 0 10.12
10 2 0 10.15
10 3 1 9.74
10 4 1 9.81
10 5 0 10.32
10 6 1 10.08
10 7 1 10.89
10 8 1 9.94
10 9 0 9.68
10 10 0 9.46
10 11 1 9.65
10 12 0 9.67
10 13 0 8.35
10 14 0 8.48
10 15 0 8.41
10 16 0 8.43
10 17 0 8.51
10 18 0 7.74
10 19 0 8.41
10 20 0 8
11 1 1 8.68
11 2 0 8.67
11 3 1 7.6
11 4 1 9.6
11 5 1 8.17
11 6 1 7.97
11 7 1 12.57
11 8 0 7.62
11 9 0 7.03
11 10 0 7.06
11 11 1 7.2
11 12 1 6.19
11 13 0 7.69
11 14 0 6.51
11 15 0 6.08
11 16 0 5.54
11 17 0 5.87
11 18 0 6.64
11 19 0 6.99
11 20 0 7.45
12 1 1 9.22
12 2 1 7.86
12 3 1 8.4
12 4 1 8.1
12 5 1 8.45
12 6 1 8.45
12 7 1 8.61
12 8 1 9.28
12 9 1 7.88
12 10 1 7.98
12 11 1 7.41
12 12 1 6.99
12 13 0 7.01
12 14 1 6.73
12 15 1 6.56
12 16 1 6.46
12 17 1 6.48
12 18 1 6.95
12 19 1 6.64
12 20 1 6.21
13 1 1 8.93
13 2 1 8.87
13 3 1 7.86
13 4 1 7.76
13 5 1 7.53
13 6 1 8.4
13 7 1 8.47
13 8 1 8.11
13 9 1 8.68
13 10 1 8.27
13 11 0 7.58
13 12 1 6.83
13 13 1 7.02
13 14 1 7.51
13 15 1 7.16
13 16 1 6.59
13 17 0 7.12
13 18 1 5.94
13 19 1 6.56
13 20 0 6.1
14 1 1 8.71
14 2 1 7.4
14 3 1 8.37
14 4 1 8.44
14 5 1 8.24
14 6 1 7.47
14 7 1 7.92
14 8 1 8.05
14 9 1 7.52
14 10 0 7.64
14 11 1 7.77
14 12 1 7.21
14 13 1 6.95
14 14 1 6.71
14 15 1 6.62
14 16 1 6.23
14 17 1 7.31
14 18 1 6.92
14 19 0 6.36
14 20 0 6.02
15 1 1 7.92
15 2 1 9.01
15 3 0 8.97
15 4 1 8.26
15 5 1 7.65
15 6 1 7.25
15 7 0 7.27
15 8 1 8
15 9 0 7.33
15 10 0 6.85
15 11 0 7.24
15 12 0 7.09
15 13 0 6.43
15 14 0 6.85
15 15 1 5.82
15 16 0 5.33
15 17 1 6.04
15 18 0 5.79
15 19 0 5.53
15 20 0 5.58
16 1 1 9.34
16 2 0 8.21
16 3 0 9.88
16 4 1 8.33
16 5 0 8.3
16 6 0 8
16 7 0 10.51
16 8 0 8.08
16 9 0 7.9
16 10 0 7.47
16 11 0 7.87
16 12 0 7.71
16 13 0 7.07
16 14 0 7.2
16 15 0 6.63
16 16 0 6.94
16 17 0 6.58
16 18 0 6.33
16 19 0 6.38
16 20 0 6.55
17 1 0 8.38
17 2 0 8.14
17 3 0 8.49
17 4 1 8.17
17 5 0 7.46
17 6 0 7
17 7 0 7.6
17 8 0 7.18
17 9 0 6.75
17 10 0 5.81
17 11 0 6.4
17 12 0 6.37
17 13 0 6.19
17 14 0 5.88
17 15 0 6.77
17 16 0 7.05
17 17 0 5.69
17 18 0 5.29
17 19 0 5.23
17 20 0 5.92
18 1 0 8.25
18 2 0 8.64
18 3 1 10.06
18 4 0 8.79
18 5 0 8.79
18 6 0 8.37
18 7 0 9.45
18 8 0 8.01
18 9 0 8.66
18 10 0 7.79
18 11 0 6.92
18 12 0 7.77
18 13 0 6.84
18 14 0 7.12
18 15 0 7.37
18 16 0 7.81
18 17 0 7.62
18 18 0 6.99
18 19 0 7.25
18 20 0 6.38
19 1 0 7.39
19 2 0 7.61
19 3 0 8.42
19 4 0 8.06
19 5 0 8.59
